ontology_name,strategy,tool_name,runtime_s,hypothesis_size,hypothesis_class_count,recovery_rate,recovered_set_precision,valid_explanation,timed_out,peak_memory_mb
ore_ont_10874,eq1,CATS,2.2696306705474854,0,0,,,,False,270.84
ore_ont_10874,eq1,LETHE,2.2439746856689453,1,1,1.0,1.0,True,False,197.9
ore_ont_10874,eq1,AAA,TIMEOUT,,,,,,True,
ore_ont_10874,eq2,CATS,2.2650575637817383,0,0,,,,False,269.44
ore_ont_10874,eq2,LETHE,"ERROR: WARNING: A terminally deprecated method in sun.misc.Unsafe has been called
WARNING: sun.misc.Unsafe::objectFieldOffset has been called by com.github.benmanes.caffeine.cache.UnsafeAccess (file:/C:/Users/mydah/pycharmprojects/thesis_experiment/tools/lethe-abduction.jar)
WARNING: Please consider reporting this to the maintainers of class com.github.benmanes.caffeine.cache.UnsafeAccess
WARNING: sun.misc.Unsafe::objectFieldOffset will be removed in a future release
Exception in thread ""main"" org.semanticweb.owlapi.reasoner.InconsistentOntologyException: Inconsistent ontology
	at org.semanticweb.HermiT.Reasoner.throwInconsistentOntologyExceptionIfNecessary(Reasoner.java:2225)
	at org.semanticweb.HermiT.Reasoner.checkPreConditions(Reasoner.java:2217)
	at org.semanticweb.HermiT.Reasoner.isEntailed(Reasoner.java:728)
	at uk.ac.man.cs.lethe.abduction.HypothesisSimplifier.$anonfun$simplify$2(HypothesisSimplifier.scala:40)
	at scala.collection.immutable.Set$Set4.foreach(Set.scala:208)
	at uk.ac.man.cs.lethe.abduction.HypothesisSimplifier.simplify(HypothesisSimplifier.scala:37)
	at uk.ac.man.cs.lethe.abduction.OWLAbducer.simplify(OWLAbducer.scala:65)
	at abduction.DLStatementAdapter.getNextConversion(DLStatementAdapter.java:65)
	at uk.ac.man.cs.lethe.abduction.cmd.AbductionCmd$.main(AbductionCmd.scala:68)
	at uk.ac.man.cs.lethe.abduction.cmd.AbductionCmd.main(AbductionCmd.scala)",,,,,,False,239.21
ore_ont_10874,eq2,AAA,TIMEOUT,,,,,,True,
ore_ont_10874,eq3,CATS,2.178689956665039,0,0,,,,False,264.68
ore_ont_10874,eq3,LETHE,"ERROR: WARNING: A terminally deprecated method in sun.misc.Unsafe has been called
WARNING: sun.misc.Unsafe::objectFieldOffset has been called by com.github.benmanes.caffeine.cache.UnsafeAccess (file:/C:/Users/mydah/pycharmprojects/thesis_experiment/tools/lethe-abduction.jar)
WARNING: Please consider reporting this to the maintainers of class com.github.benmanes.caffeine.cache.UnsafeAccess
WARNING: sun.misc.Unsafe::objectFieldOffset will be removed in a future release
Exception in thread ""main"" org.semanticweb.owlapi.reasoner.InconsistentOntologyException: Inconsistent ontology
	at org.semanticweb.HermiT.Reasoner.throwInconsistentOntologyExceptionIfNecessary(Reasoner.java:2225)
	at org.semanticweb.HermiT.Reasoner.checkPreConditions(Reasoner.java:2217)
	at org.semanticweb.HermiT.Reasoner.isEntailed(Reasoner.java:728)
	at uk.ac.man.cs.lethe.abduction.HypothesisSimplifier.$anonfun$simplify$2(HypothesisSimplifier.scala:40)
	at scala.collection.immutable.HashSet$HashSet1.foreach(HashSet.scala:321)
	at scala.collection.immutable.HashSet$HashTrieSet.foreach(HashSet.scala:977)
	at uk.ac.man.cs.lethe.abduction.HypothesisSimplifier.simplify(HypothesisSimplifier.scala:37)
	at uk.ac.man.cs.lethe.abduction.OWLAbducer.simplify(OWLAbducer.scala:65)
	at abduction.DLStatementAdapter.getNextConversion(DLStatementAdapter.java:65)
	at uk.ac.man.cs.lethe.abduction.cmd.AbductionCmd$.main(AbductionCmd.scala:68)
	at uk.ac.man.cs.lethe.abduction.cmd.AbductionCmd.main(AbductionCmd.scala)",,,,,,False,223.79
ore_ont_10874,eq3,AAA,TIMEOUT,,,,,,True,
ore_ont_10874,eq4,CATS,2.205524206161499,0,0,,,,False,261.13
