ontology_name,strategy,tool_name,runtime_s,hypothesis_size,hypothesis_class_count,recovery_rate,recovered_set_precision,valid_explanation,timed_out,peak_memory_mb
ore_ont_10320,A,CATS,301.7857520580292,0,0,,,,False,0.24
ore_ont_10320,A,LETHE,1.3166368007659912,1,1,0.0,0.0,True,False,1.05
ore_ont_10320,A,AAA,TIMEOUT,,,,,,True,0.19
ore_ont_10320,B,CATS,289.0147211551666,0,0,,,,False,0.24
ore_ont_10320,B,LETHE,3.985790729522705,1,0,,,False,False,9.67
ore_ont_10320,B,AAA,TIMEOUT,,,,,,True,0.18
ore_ont_10320,C,CATS,301.8739056587219,0,0,,,,False,0.23
ore_ont_10320,C,LETHE,4.253494739532471,1,0,,,False,False,9.95
ore_ont_10320,C,AAA,TIMEOUT,,,,,,True,0.19
ore_ont_10571,A,CATS,301.6127483844757,0,0,,,,False,0.24
ore_ont_10571,A,LETHE,1.2452106475830078,1,1,0.0,0.0,True,False,0.72
ore_ont_10571,A,AAA,TIMEOUT,,,,,,True,0.22
ore_ont_10571,B,CATS,301.6176836490631,0,0,,,,False,0.24
ore_ont_10571,B,LETHE,TIMEOUT,,,,,,True,7159.58
ore_ont_10571,B,AAA,TIMEOUT,,,,,,True,0.22
ore_ont_10571,C,CATS,301.5353684425354,0,0,,,,False,0.24
ore_ont_10571,C,LETHE,TIMEOUT,,,,,,True,12171.65
ore_ont_10571,C,AAA,TIMEOUT,,,,,,True,0.22
ore_ont_10702,A,CATS,303.5228497982025,0,0,,,,False,0.24
ore_ont_10702,A,LETHE,1.9721601009368896,1,1,0.0,0.0,True,False,1.33
ore_ont_10702,A,AAA,TIMEOUT,,,,,,True,0.3
ore_ont_10702,B,CATS,328.063663482666,0,0,,,,False,0.24
ore_ont_10702,B,LETHE,1.754432201385498,0,0,,,,False,1.86
ore_ont_10702,B,AAA,TIMEOUT,,,,,,True,0.29
ore_ont_10702,C,CATS,TIMEOUT,,,,,,True,0.04
ore_ont_10702,C,LETHE,1.9975266456604004,0,0,,,,False,2.01
ore_ont_10702,C,AAA,TIMEOUT,,,,,,True,0.3
ore_ont_11477,A,CATS,302.9081871509552,0,0,,,,False,0.24
ore_ont_11477,A,LETHE,2.0575499534606934,1,1,0.0,0.0,True,False,1.65
ore_ont_11477,A,AAA,TIMEOUT,,,,,,True,0.38
ore_ont_11477,B,CATS,234.6691551208496,0,0,,,,False,0.25
ore_ont_11477,B,LETHE,1.961672067642212,0,0,,,,False,2.42
ore_ont_11477,B,AAA,TIMEOUT,,,,,,True,0.36
ore_ont_11477,C,CATS,308.0480992794037,0,0,,,,False,0.24
ore_ont_11477,C,LETHE,2.1843385696411133,0,0,,,,False,2.6
ore_ont_11477,C,AAA,TIMEOUT,,,,,,True,0.38
ore_ont_12342,A,CATS,301.58110904693604,0,0,,,,False,0.24
ore_ont_12342,A,LETHE,1.8066604137420654,1,1,0.0,0.0,True,False,5.61
ore_ont_12342,A,AAA,TIMEOUT,,,,,,True,0.25
ore_ont_12342,B,CATS,301.6209924221039,0,0,,,,False,0.25
ore_ont_12342,B,LETHE,TIMEOUT,,,,,,True,233.44
ore_ont_12342,B,AAA,"ERROR: Exception in thread ""main"" java.lang.NullPointerException: Cannot invoke ""aterm.ATerm.hashCode()"" because the return value of ""aterm.pure.ATermApplImpl.getArgument(int)"" is null
	at aterm.pure.ATermApplImpl.hashFunction(ATermApplImpl.java:334)
	at aterm.pure.ATermApplImpl.<init>(ATermApplImpl.java:63)
	at aterm.pure.PureFactory.makeAppl(PureFactory.java:174)
	at aterm.pure.PureFactory.makeAppl(PureFactory.java:170)
	at org.mindswap.pellet.utils.ATermUtils.nnf(ATermUtils.java:1221)
	at org.mindswap.pellet.utils.ATermUtils.nnf(ATermUtils.java:1127)
	at org.mindswap.pellet.utils.ATermUtils.nnf(ATermUtils.java:1219)
	at org.mindswap.pellet.utils.ATermUtils.nnf(ATermUtils.java:1127)
	at org.mindswap.pellet.utils.ATermUtils.nnf(ATermUtils.java:1219)
	at org.mindswap.pellet.utils.ATermUtils.nnf(ATermUtils.java:1127)
	at org.mindswap.pellet.utils.ATermUtils.nnf(ATermUtils.java:1219)
	at tableauReasoning.TableauManager.loadModel(TableauManager.java:262)
	at MHS.MinimalHittingSetAlg.isConsistent(MinimalHittingSetAlg.java:339)
	at MHS.MinimalHittingSetAlg.nextStepOfHS(MinimalHittingSetAlg.java:125)
	at MHS.MinimalHittingSetAlg.addNode(MinimalHittingSetAlg.java:98)
	at abductiveReasoning.AbductionDLReasoner.runAAA(AbductionDLReasoner.java:128)
	at abductiveReasoning.MoreObsManager.run(MoreObsManager.java:247)
	at abductiveReasoning.AAA.doMain(AAA.java:131)
	at abductiveReasoning.AAA.main(AAA.java:67)",,,,,,False,0.25
ore_ont_12342,C,CATS,302.0721056461334,0,0,,,,False,0.25
ore_ont_12342,C,LETHE,TIMEOUT,,,,,,True,228.07
